datadate,ticker,conm,act,at,capx,ceq,che,cogs,csho,dlc,dlcch,dltis,dltr,dltt,dp,dpact,dv,emp,epsfx,ib,intan,invch,invt,lct,lt,niadj,oancf,oiadp,ppent,pstk,pstkl,pstkr,sale,seq,txditc,xint,xrd,xsga,mkvalt,prcc_f,sic
2009-12-31,PNW,PINNACLE WEST CAPITAL CORP,928.737,11808.155,775.354,3316.109,145.378,2312.544,101.435,431.408,-516.754,867.469,435.127,3370.524,404.331,4406.189,205.076,7.2,0.81,82.006,164.38,21.572,218.547,1083.16,8462.475,68.33,1031.065,580.226,9093.436,0.0,0.0,0.0,3297.101,3316.109,1496.095,233.859,,,3710.4923,36.58,4911
2010-12-31,PNW,PINNACLE WEST CAPITAL CORP,931.93,12362.703,765.152,3683.327,110.188,2125.206,108.77,648.479,-137.115,0.0,106.572,3045.794,414.555,4812.568,216.979,6.74,3.08,330.442,184.952,12.276,202.989,1310.736,8587.477,350.053,750.457,723.884,9393.867,0.0,0.0,0.0,3263.645,3683.327,1833.566,244.174,,,4508.5165,41.45,4911
2011-12-31,PNW,PINNACLE WEST CAPITAL CORP,956.47,13111.018,902.708,3821.85,33.583,2067.817,109.246,477.435,-16.6,470.353,655.169,3019.054,427.054,5041.552,221.728,6.663,2.99,328.167,170.571,-23.398,226.387,1342.705,9180.432,339.473,1125.583,746.508,9791.687,0.0,0.0,0.0,3241.379,3821.85,1925.388,241.995,,,5263.4723,48.18,4911
2012-12-31,PNW,PINNACLE WEST CAPITAL CORP,1005.726,13379.615,904.522,3972.806,26.202,2045.713,109.743,215.003,92.175,476.081,654.286,3199.088,404.336,5285.618,225.075,6.613,3.5,387.371,,-23.043,249.43,1083.542,9277.326,381.542,1171.122,851.755,10396.393,0.0,0.0,0.0,3301.804,3972.806,2151.371,214.616,,,5594.6981,50.98,4911
2013-12-31,PNW,PINNACLE WEST CAPITAL CORP,1043.609,13508.686,1031.183,4194.47,9.526,2192.597,110.182,693.549,60.95,136.307,122.828,2796.465,415.708,5672.201,235.244,6.433,3.66,406.074,,-11.878,259.71,1618.644,9168.226,406.074,1153.307,846.323,10888.985,0.0,0.0,0.0,3454.628,4194.47,2504.243,201.888,,,5830.8314,52.92,4911
2014-12-31,PNW,PINNACLE WEST CAPITAL CORP,973.435,14313.532,926.091,4367.493,7.604,2263.032,110.571,530.97,-5.725,731.126,652.578,3031.215,417.358,5771.1,246.671,6.366,3.58,397.595,,3.724,255.986,1559.143,9794.43,397.595,1099.627,811.242,11194.33,0.0,0.0,0.0,3491.632,4367.493,2761.243,200.95,,,7553.105,68.31,4911
2015-12-31,PNW,PINNACLE WEST CAPITAL CORP,890.516,15028.258,1092.346,4583.917,39.488,2146.419,110.98,357.58,-147.4,842.415,415.57,3462.391,494.422,5973.987,260.027,6.407,3.92,437.257,,-23.945,279.931,1442.317,10308.801,437.257,1094.327,854.602,11808.944,0.0,0.0,0.0,3495.443,4583.917,2910.505,194.964,,,7155.9904,64.48,4911
2016-12-31,PNW,PINNACLE WEST CAPITAL CORP,822.219,16004.253,1295.442,4803.622,8.881,2156.869,111.337,302.2,177.2,693.151,370.43,4021.785,485.829,6354.837,274.229,6.339,3.95,442.034,90.022,-1.491,282.587,1292.946,11068.341,442.034,1023.39,855.984,12624.254,0.0,0.0,0.0,3498.682,4803.622,3155.394,205.72,,,8687.6261,78.03,4911
2017-12-31,PNW,PINNACLE WEST CAPITAL CORP,1016.288,17019.082,1430.886,5006.69,13.892,2096.751,111.752,177.4,-81.8,848.239,125.0,4789.713,534.118,6514.01,289.793,6.292,4.35,488.456,257.189,-6.683,289.27,1197.852,11883.352,488.456,1118.036,934.427,13188.077,0.0,0.0,0.0,3565.296,5006.69,1896.38,219.796,,,9519.0354,85.18,4911
2018-12-31,PNW,PINNACLE WEST CAPITAL CORP,924.991,17664.202,1203.349,5222.915,5.766,2335.206,112.102,576.4,-19.0,445.245,182.0,4638.232,582.354,6749.139,308.892,6.259,4.54,511.047,262.902,-6.103,294.094,1648.964,12315.497,511.047,1277.144,773.687,13766.668,0.0,0.0,0.0,3691.247,5222.915,2007.826,243.465,,,9551.0904,85.2,4911
2019-12-31,PNW,PINNACLE WEST CAPITAL CORP,1030.03,18479.247,1209.975,5430.648,10.283,2208.32,112.436,927.388,38.275,1092.188,600.0,4884.43,590.929,7024.331,329.643,6.21,4.77,538.32,290.564,-51.826,345.92,2078.365,12926.059,538.32,956.726,671.96,14377.787,0.0,0.0,0.0,3471.209,5430.648,2188.807,235.251,,,10111.3695,89.93,4911
2020-12-31,PNW,PINNACLE WEST CAPITAL CORP,1198.319,20020.421,1345.114,5633.503,59.968,2184.452,112.688,243.785,54.325,1596.672,915.15,6675.602,614.378,7500.531,350.577,6.026,4.87,550.559,282.57,11.623,334.297,1360.433,14267.628,550.559,966.365,788.152,15381.704,0.0,0.0,0.0,3586.982,5633.503,2326.775,247.501,,,9009.4056,79.95,4911
2009-12-31,AXP,AMERICAN EXPRESS CO,,124088.0,772.0,14406.0,25875.0,22842.0,1192.0,13173.0,-6574.0,6697.0,15197.0,41509.0,1070.0,4130.0,924.0,58.3,1.54,2137.0,3045.0,0.0,0.0,,109682.0,1802.0,6384.0,2607.0,2782.0,0.0,0.0,0.0,26519.0,14406.0,0.0,756.0,,,48299.84,40.52,6141
